value,color
0.1,#FFF9BD
0.2,#FFEC9D
0.3,#FEDD7E
0.4,#FEC45F
0.5,#FEA848
0.6,#FD8C3C
0.7,#FC5F2F
0.8,#F13624
0.9,#DC151E
1,#C00225
