value,color
-11,"rgb(204, 44, 29)"
,"rgb(210, 69, 39)"
,"rgb(216, 93, 49)"
,"rgb(222, 118, 59)"
,"rgb(228, 143, 69)"
,"rgb(234, 167, 79)"
-4,"rgb(240, 192, 89)"
,"rgb(226, 213, 120)"
-2,"rgb(207, 229, 152)"
,"rgb(180, 213, 171)"
0,"rgb(154, 196, 181)"
,"rgb(132, 177, 177)"
,"rgb(109, 158, 174)"
,"rgb(86, 140, 170)"
5,"rgb(63, 121, 167)"
